utc_timestamp,cet_cest_timestamp,DE_KN_industrial1_grid_import,DE_KN_industrial1_pv_1,DE_KN_industrial1_pv_2,DE_KN_industrial2_grid_import,DE_KN_industrial2_pv,DE_KN_industrial2_storage_charge,DE_KN_industrial2_storage_decharge,DE_KN_industrial3_area_offices,DE_KN_industrial3_area_room_1,DE_KN_industrial3_area_room_2,DE_KN_industrial3_area_room_3,DE_KN_industrial3_area_room_4,DE_KN_industrial3_compressor,DE_KN_industrial3_cooling_aggregate,DE_KN_industrial3_cooling_pumps,DE_KN_industrial3_dishwasher,DE_KN_industrial3_ev,DE_KN_industrial3_grid_import,DE_KN_industrial3_machine_1,DE_KN_industrial3_machine_2,DE_KN_industrial3_machine_3,DE_KN_industrial3_machine_4,DE_KN_industrial3_machine_5,DE_KN_industrial3_pv_facade,DE_KN_industrial3_pv_roof,DE_KN_industrial3_refrigerator,DE_KN_industrial3_ventilation,DE_KN_public1_grid_import,DE_KN_public2_grid_import,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine,DE_KN_residential2_circulation_pump,DE_KN_residential2_dishwasher,DE_KN_residential2_freezer,DE_KN_residential2_grid_import,DE_KN_residential2_washing_machine,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_grid_export,DE_KN_residential3_grid_import,DE_KN_residential3_pv,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine,DE_KN_residential5_dishwasher,DE_KN_residential5_grid_import,DE_KN_residential5_refrigerator,DE_KN_residential5_washing_machine,DE_KN_residential6_circulation_pump,DE_KN_residential6_dishwasher,DE_KN_residential6_freezer,DE_KN_residential6_grid_export,DE_KN_residential6_grid_import,DE_KN_residential6_pv,DE_KN_residential6_washing_machine,interpolated
2017-05-18T02:00:00Z,2017-05-18T04:00:00+0200,352417.336,7393.342,5716.093,16319.385,17767.975,1479.456,893.636,15652.126,5816.286,27787.412,5406.488,41284.380,47612.739,60998.022,174002.818,860.346,879025.446,43188.018,132124.509,211399.458,461.556,4147.494,7995.911,18286.395,453.940,191713.077,86536.89,2456.4,0,183.068,221.382,5496.878,5309.118,11139.917,850.017,574.294,274.137,79.112,309.703,1259.566,973.586,366.268,3734.744,4652.220,5997.692,456.435,1391.115,601.909,1671.601,244.760,12303.535,7352.936,511.214,314.09,852.572,17.223,379.645,4325.176,557.878,281.636,589.147,93.427,135.473,1967.520,5302.804,12673.771,74.329,27.043,
2017-05-18T03:00:00Z,2017-05-18T05:00:00+0200,352442.664,7393.342,5716.093,16320.795,17768.872,1479.476,893.636,15652.756,5816.446,27788.678,5406.498,41284.380,47614.348,60998.178,174014.381,860.346,879088.696,43188.299,132132.447,211415.708,461.556,4147.494,7995.911,18286.407,453.974,191721.952,86547.577,2457.471,0,183.068,221.418,5497.227,5309.128,11144.549,850.079,574.296,274.137,79.123,309.703,1259.598,973.589,366.268,3734.744,4652.380,5997.692,456.463,1391.115,602.129,1671.601,244.781,12303.535,7353.130,511.786,314.562,852.572,17.235,379.645,4325.256,557.901,281.636,589.180,93.445,135.476,1967.530,5302.814,12673.771,74.329,27.043,
2017-05-18T04:00:00Z,2017-05-18T06:00:00+0200,352478.039,7393.383,5716.093,16322.305,17772.571,1479.496,893.636,15653.466,5816.605,27789.898,5406.508,41284.380,47615.895,60998.366,174026.006,860.346,879151.946,43188.549,132140.322,211432.021,461.556,4147.494,7995.911,18286.591,454.008,191730.452,86556.827,2459.638,0,183.068,221.461,5497.568,5309.147,11147.628,850.088,574.296,274.138,79.134,309.703,1259.661,973.591,366.268,3734.744,4652.830,5997.750,456.480,1391.115,602.345,1671.601,244.792,12303.554,7353.307,512.421,315.032,852.572,17.258,379.645,4325.391,557.927,281.636,589.209,93.474,135.478,1967.570,5302.844,12673.790,74.329,27.152,
2017-05-18T05:00:00Z,2017-05-18T07:00:00+0200,352520.992,7393.658,5716.191,16323.893,17779.612,1479.515,893.636,15654.521,5816.775,27793.324,5406.528,41284.380,47618.504,61001.741,174038.256,860.361,879223.446,43188.799,132148.322,211448.208,461.556,4147.494,7996.106,18287.477,454.037,191740.640,86565.577,2462.075,0,183.068,221.494,5497.89,5309.157,11148.979,850.097,574.296,274.74,79.148,309.703,1259.722,973.594,366.268,3734.824,4653.235,5998.011,456.504,1391.115,602.356,1671.601,244.801,12303.957,7353.377,513.117,315.499,852.572,17.258,379.645,4325.691,558.014,281.636,589.237,93.488,135.481,1967.590,5302.864,12674.115,74.329,27.264,
2017-05-18T06:00:00Z,2017-05-18T08:00:00+0200,352564.242,7394.500,5716.814,16324.330,17789.17,1479.915,893.703,15657.150,5819.351,27798.476,5406.538,41284.380,47622.301,61003.381,174050.131,861.042,879308.446,43189.080,132157.228,211464.521,461.556,4147.494,7996.696,18290.126,454.063,191752.015,86574.452,2464.369,0,183.068,221.526,5498.187,5309.167,11149.344,850.106,574.296,275.386,79.166,309.703,1259.791,973.597,366.268,3735.264,4653.786,5998.876,456.542,1391.115,602.356,1671.601,244.822,12305.247,7353.377,514.098,316.226,852.572,17.294,379.960,4326.111,558.045,281.636,589.265,93.529,135.493,1967.650,5302.924,12675.146,74.329,27.371,
2017-05-18T07:00:00Z,2017-05-18T09:00:00+0200,352597.164,7396.175,5718.258,16324.363,17800.161,1481.115,893.705,15660.111,5820.691,27805.289,5407.153,41294.927,47627.707,61032.272,174067.006,861.433,879449.696,43197.159,132165.572,211480.771,461.556,4147.494,7997.571,18295.239,454.089,191763.015,86583.14,2466.578,0,183.068,221.567,5498.517,5309.177,11149.476,850.115,574.297,275.39,79.177,309.703,1259.831,973.599,366.268,3736.554,4653.795,6000.330,456.554,1391.115,602.36,1671.601,244.842,12307.791,7353.377,515.074,317.224,852.737,17.294,380.000,4326.271,558.091,281.636,589.268,93.542,135.496,1967.710,5302.974,12676.896,74.329,27.401,
2017-05-18T08:00:00Z,2017-05-18T10:00:00+0200,352645.102,7398.595,5720.299,16324.363,17811.985,1482.540,893.705,15662.690,5822.026,27809.422,5408.683,41316.193,47636.301,61062.131,174084.006,861.433,879635.446,43233.784,132175.384,211497.021,461.556,4147.494,7999.282,18301.028,454.123,191776.515,86591.702,2467.558,0,183.068,221.604,5498.847,5309.198,11149.487,850.125,574.297,275.39,79.187,309.704,1259.871,973.602,366.268,3738.509,4653.805,6002.580,456.589,1391.115,602.686,1671.602,244.863,12312.430,7353.377,515.333,317.549,853.187,17.328,380.457,4326.801,558.102,281.636,589.271,93.553,135.498,1967.940,5303.044,12680.420,74.329,27.490,DE_KN_residential3_washing_machine
2017-05-18T09:00:00Z,2017-05-18T11:00:00+0200,352705.836,7401.885,5723.146,16324.375,17823.526,1483.606,893.705,15664.846,5823.396,27812.953,5410.233,41335.896,47644.161,61092.725,174101.006,861.434,879799.946,43263.143,132183.603,211513.333,461.556,4147.494,8003.360,18309.735,454.160,191790.015,86600.327,2468.774,0,183.068,221.636,5499.357,5309.327,11149.487,850.134,574.297,275.39,79.2,309.704,1259.913,973.604,366.268,3741.059,4653.805,6005.381,456.608,1391.115,602.9,1671.603,244.883,12318.485,7353.377,515.653,318.022,853.778,17.328,380.458,4326.971,558.209,281.636,589.294,93.553,135.539,1970.005,5303.064,12685.660,74.329,27.597,
2017-05-18T10:00:00Z,2017-05-18T12:00:00+0200,352764.789,7405.823,5726.266,16324.375,17833.801,1483.818,893.705,15666.806,5824.611,27816.662,5411.568,41355.364,47653.129,61123.834,174118.131,861.434,879964.196,43291.768,132193.603,211532.208,461.556,4147.494,8008.542,18319.743,454.199,191804.452,86608.89,2469.993,0,183.068,221.673,5499.854,5309.487,11149.487,850.138,574.297,275.39,79.219,309.704,1259.958,973.607,366.268,3743.734,4653.805,6008.226,456.622,1391.115,603.002,1671.604,244.892,12324.865,7353.377,515.953,318.491,854.53,17.343,380.458,4327.051,558.223,281.636,589.367,93.553,135.541,1972.430,5303.124,12691.946,74.329,27.690,
2017-05-18T11:00:00Z,2017-05-18T13:00:00+0200,352828.914,7409.737,5729.221,16324.375,17841.823,1483.839,893.705,15669.235,5825.781,27820.142,5412.718,41374.677,47661.692,61153.694,174135.006,861.783,880132.196,43321.971,132201.603,211554.771,461.556,4147.494,8013.387,18329.153,454.237,191817.140,86617.515,2471.253,0,183.068,221.716,5500.167,5309.497,11149.487,850.142,574.298,275.391,79.23,309.704,1260.006,973.610,366.268,3746.524,4653.805,6011.210,456.653,1391.115,603.31,1671.607,244.905,12331.670,7353.377,516.053,318.761,856.332,17.362,380.458,4327.161,558.258,281.636,589.447,93.587,135.544,1975.380,5303.124,12698.356,74.329,27.690,
